Calories,Total Fat (g),Total Sugars (g),Carbohydrates (Carbs) (g),Protein (g),Cluster
550,36.4,37.1,20.7,46.1,2
517,7.9,0.1,33.0,4.0,1
432,11.0,0.2,8.3,30.3,1
378,9.0,41.8,6.7,32.5,2
90,12.7,9.8,5.5,20.0,1
374,2.8,36.3,99.1,41.4,0
106,33.0,1.1,25.4,14.8,1
565,31.9,31.3,34.3,39.5,2
259,13.1,30.0,82.2,48.0,0
89,35.2,4.6,58.8,4.6,1
796,4.6,21.7,21.7,48.7,2
186,16.6,17.8,13.2,45.5,2
353,21.7,26.6,74.8,0.5,1
517,24.7,41.2,65.9,15.9,2
785,31.9,49.4,41.3,6.2,2
68,34.1,7.4,94.0,14.0,1
188,0.9,49.0,53.4,37.4,0
188,35.2,48.2,54.4,13.0,1
688,7.9,39.4,25.9,23.3,2
485,18.0,30.2,14.7,0.4,1
540,35.4,39.1,1.3,42.1,2
386,16.7,29.0,63.5,34.3,0
761,11.7,43.8,92.5,40.5,0
495,13.9,16.8,72.6,39.5,0
760,20.9,12.9,27.2,22.6,2
135,27.9,29.9,16.2,41.2,2
569,16.4,3.3,24.5,46.6,2
523,11.3,33.2,51.3,22.4,0
645,36.3,39.9,46.4,15.9,2
93,23.5,44.8,43.5,31.6,2
392,4.3,45.7,50.3,39.8,0
643,27.9,13.8,10.6,2.1,1
260,11.1,5.4,54.3,44.9,0
242,25.0,31.9,64.6,30.0,1
480,37.8,11.6,47.4,26.4,1
645,28.8,26.5,50.7,41.7,2
260,33.7,28.5,76.1,7.3,1
473,7.4,10.9,34.2,36.2,0
611,27.3,17.0,20.5,7.6,1
411,23.0,9.7,11.4,6.0,1
302,16.7,41.9,99.1,8.5,0
156,35.5,42.2,63.9,40.4,2
769,4.5,11.2,60.9,45.0,0
192,8.6,31.7,68.2,25.9,0
181,31.0,1.6,88.8,11.8,1
432,13.2,9.5,27.3,1.3,1
114,12.6,28.8,34.0,26.7,1
421,33.9,41.0,24.2,21.8,2
356,38.4,10.1,19.5,45.5,2
531,1.4,41.0,36.0,48.4,2
344,27.2,15.5,77.9,29.6,1
78,28.9,25.2,42.7,39.6,1
790,30.7,26.6,70.0,19.3,2
729,20.2,20.2,64.5,20.5,0
307,32.4,48.2,44.6,17.3,2
733,5.7,25.6,75.5,35.0,0
633,39.4,42.6,38.3,42.3,2
315,2.2,2.6,90.5,25.8,0
307,36.4,20.1,69.1,19.2,1
131,0.3,43.1,45.5,32.3,0
414,18.4,28.7,63.8,45.9,0
752,40.0,7.5,84.0,45.0,2
442,10.2,12.3,90.4,26.8,0
529,19.2,24.7,48.9,31.8,2
624,11.2,35.0,74.1,2.7,0
607,22.3,33.6,36.4,17.1,2
365,35.9,25.7,87.1,18.0,1
761,8.0,28.0,35.6,7.0,0
498,14.3,22.5,74.4,47.5,0
572,14.4,1.5,41.3,7.7,1
660,37.8,19.8,10.4,28.5,2
297,25.9,19.5,85.7,39.8,0
277,14.2,26.1,21.2,46.8,2
639,7.0,29.8,50.5,18.5,0
242,4.6,20.7,99.3,29.0,0
618,11.6,24.2,33.4,43.5,2
397,24.9,9.6,10.5,3.3,1
709,7.4,34.6,13.3,45.8,2
583,15.0,10.7,1.5,3.5,1
292,7.4,26.9,81.6,26.9,0
344,8.6,48.6,88.1,38.0,0
571,0.8,33.5,91.7,22.3,0
362,31.7,20.4,6.2,9.0,1
378,14.7,9.9,11.4,20.6,1
170,38.3,22.4,25.1,18.9,1
350,6.0,34.2,37.4,15.5,0
358,23.6,0.1,88.9,38.0,0
464,9.0,40.3,7.1,22.1,2
178,37.4,36.6,93.2,19.3,1
797,7.2,48.2,38.5,38.5,2
241,6.7,32.0,54.3,34.6,0
174,2.7,34.3,78.0,44.0,0
483,33.0,42.4,55.9,10.0,2
141,13.9,4.3,18.5,43.0,1
794,32.9,9.4,74.1,22.6,0
245,10.8,44.5,94.2,9.1,0
533,10.1,39.4,5.6,32.9,2
505,10.5,13.8,4.0,25.8,2
506,26.5,34.5,54.5,8.4,1
664,27.5,12.8,24.0,24.1,2
86,11.3,24.0,11.1,21.5,1
153,6.7,15.6,26.8,42.6,0
478,31.7,6.8,11.1,30.7,1
781,17.8,6.6,70.9,27.1,0
641,10.3,27.1,19.2,2.6,1
546,36.8,11.2,20.9,1.2,1
586,4.4,47.6,32.3,21.3,2
393,17.4,36.6,87.1,21.2,0
263,7.3,3.5,76.4,16.0,0
107,23.9,38.8,77.5,28.8,1
511,23.3,41.7,29.7,3.1,2
585,13.4,5.3,16.3,49.5,2
104,1.7,40.4,4.8,43.2,2
50,24.5,9.9,52.5,43.2,1
461,6.3,45.7,27.0,4.0,2
597,32.6,23.5,21.2,20.2,2
